Key,SourceString,Comment
"BreakOut","Break Out",""
"missionsetting_opforpreset","Expected Resistance","Opsboard"
"missionsetting_opforpreset_0","Underwhelming","Opsboard"
"missionsetting_opforpreset_1","Low","Opsboard"
"missionsetting_opforpreset_2","Medium","Opsboard"
"missionsetting_opforpreset_3","High","Opsboard"
"missionsetting_opforpreset_4","Overwhelming","Opsboard"
"missionsetting_displayscoremessage","Display Score Messages","Opsboard"
"missionsetting_displayscoremessage_0","No","Opsboard"
"missionsetting_displayscoremessage_1","Yes","Opsboard"
"missionsetting_displayscoremilestones","Display Score Milestone Messages","Opsboard"
"missionsetting_displayscoremilestones_0","No","Opsboard"
"missionsetting_displayscoremilestones_1","Yes","Opsboard"
"missionsetting_displayobjectivemessages","Display Objective Messages","Opsboard"
"missionsetting_displayobjectivemessages_0","No","Opsboard"
"missionsetting_displayobjectivemessages_1","Yes","Opsboard"
"missionsetting_displayobjectiveprompts","Display Objective World Prompts","Opsboard"
"missionsetting_displayobjectiveprompts_0","No","Opsboard"
"missionsetting_displayobjectiveprompts_1","Yes","Opsboard"
"missionsetting_respawncost","Respawn Cost","Opsboard"
"objective_ExfiltrateBluFor","Exfiltrate via marked extraction point.","Opsboard"
"objective_ExfiltrateAll","Keep the whole team alive.","Opsboard"
"gamemessage_ExfilInProgress_5","Exfiltrating, T-5.","objective"
"gamemessage_ExfilInProgress_4","Exfiltrating, T-4.","objective"
"gamemessage_ExfilInProgress_3","Exfiltrating, T-3.","objective"
"gamemessage_ExfilInProgress_2","Exfiltrating, T-2.","objective"
"gamemessage_ExfilInProgress_1","Exfiltrating, T-1.","objective"
"gamemessage_ExfilInProgress_0","Exfiltrating, T-0.","objective"
"gamemessage_ExfilPaused","Exfiltration paused. Get entire team to exfiltration zone.","objective"
"gamemessage_ExfilCancelled","Exfiltration cancelled. Entire team left exfilration zone.","objective"
"gamemessage_RespawnNotInProgress","Respawn is not availble when a round is not in progress.","objective"
"gamemessage_RespawnInsufficientScore","Score too low for a respawn.","objective"
"gamemessage_RecommendedLoadout","Recommended loadout:","objective"
"gamemessage_Sidearm","Sidearm","objective"
"gamemessage_1SidearmAmmoPouch","1 Sidearm Ammo Pouch","objective"
"summary_BluForExfilSuccess","All team members exfiltrated.","AAR"
"summary_BluForExfilPartialSuccess","Some team members exfiltrated.","AAR"
"summary_BluForEliminated","Your team was wiped out.","AAR"
