Key,SourceString,Comment
"SecureArea","Secure Area",""
"missionsetting_opforpreset","Expected resistance","Opsboard"
"missionsetting_opforpreset_0","Underwhelming","Opsboard"
"missionsetting_opforpreset_1","Low","Opsboard"
"missionsetting_opforpreset_2","Medium","Opsboard"
"missionsetting_opforpreset_3","High","Opsboard"
"missionsetting_opforpreset_4","Overwhelming","Opsboard"
"missionsetting_allowrespawns","Allow respawns","Opsboard"
"missionsetting_allowrespawns_0","No","Opsboard"
"missionsetting_allowrespawns_1","Yes","Opsboard"
"objective_SecureZones","Secure the marked zones.","Opsboard"
"summary_BluForSuccess","All zones secured.","AAR"
"summary_BluForFailure","Your team was wiped out.","AAR"
